Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.3,0.14491376746189438,10,1,1,2
2,1.4,0.15491933384829668,10,1,1,2
3,1.4,0.20976176963403032,10,2,0,2
4,2.2,0.23664319132398462,10,2,1,3
5,2.8,0.12649110640673517,10,3,2,3
6,3.0,0.0,10,3,3,3
7,3.0,0.0,10,3,3,3
8,3.0,0.0,10,3,3,3
9,3.0,0.0,10,3,3,3
10,3.0,0.0,10,3,3,3
