"Plot Title: devo_2_3_1_0_1_3"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
122,03/06/16 10:48:01 AM,183.0,,,,
123,03/06/16 10:48:02 AM,43.1,,,,
124,03/06/16 10:48:03 AM,0.0,,,,
125,03/06/16 10:48:04 AM,0.0,,,,
126,03/06/16 10:48:05 AM,0.0,,,,
127,03/06/16 10:48:06 AM,0.0,,,,
128,03/06/16 10:48:07 AM,0.0,,,,
129,03/06/16 10:48:08 AM,0.0,,,,
130,03/06/16 10:48:09 AM,0.0,Logged,,,
131,03/06/16 10:48:10 AM,0.0,,Logged,,
132,03/06/16 10:48:11 AM,0.0,,,,
133,03/06/16 10:48:12 AM,0.0,,,,
134,03/06/16 10:48:13 AM,0.0,,,,
135,03/06/16 10:48:14 AM,0.0,,,Logged,Logged
