"Plot Title: 1_8_0_0_0_Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
122,12/12/15 06:54:01 PM,5.0,,,,
123,12/12/15 06:54:02 PM,8.0,,,,
124,12/12/15 06:54:03 PM,10.0,,,,
125,12/12/15 06:54:04 PM,10.0,,,,
126,12/12/15 06:54:05 PM,8.0,,,,
127,12/12/15 06:54:06 PM,0.0,,,,
128,12/12/15 06:54:07 PM,0.0,,,,
129,12/12/15 06:54:08 PM,0.0,,,,
130,12/12/15 06:54:09 PM,0.0,,,,
131,12/12/15 06:54:10 PM,0.0,,,,
132,12/12/15 06:54:11 PM,0.0,,,,
133,12/12/15 06:54:12 PM,0.0,,,,
134,12/12/15 06:54:13 PM,0.0,,,,
135,12/12/15 06:54:14 PM,0.0,,,,
136,12/12/15 06:54:15 PM,0.0,,,,
137,12/12/15 06:54:16 PM,0.0,,,,
138,12/12/15 06:54:17 PM,0.0,,,,
139,12/12/15 06:54:18 PM,0.0,,,,
140,12/12/15 06:54:19 PM,0.0,Logged,Logged,,
141,12/12/15 06:54:20 PM,0.0,,,,
142,12/12/15 06:54:21 PM,0.0,,,,
143,12/12/15 06:54:22 PM,0.0,,,,
144,12/12/15 06:54:23 PM,0.0,,,,
145,12/12/15 06:54:24 PM,0.0,,,Logged,Logged
