"Plot Title: 1_5_0_0_0_Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,12/12/15 06:32:00 PM,2.0,,,,
2,12/12/15 06:32:01 PM,10.0,,,,
3,12/12/15 06:32:02 PM,10.0,,,,
4,12/12/15 06:32:03 PM,10.0,,,,
5,12/12/15 06:32:04 PM,11.0,,,,
6,12/12/15 06:32:05 PM,11.0,,,,
7,12/12/15 06:32:06 PM,10.0,,,,
8,12/12/15 06:32:07 PM,9.0,,,,
9,12/12/15 06:32:08 PM,9.0,,,,
10,12/12/15 06:32:09 PM,9.0,,,,
11,12/12/15 06:32:10 PM,9.0,,,,
12,12/12/15 06:32:11 PM,9.0,,,,
13,12/12/15 06:32:12 PM,9.0,,,,
14,12/12/15 06:32:13 PM,9.0,,,,
15,12/12/15 06:32:14 PM,9.0,,,,
16,12/12/15 06:32:15 PM,8.0,,,,
17,12/12/15 06:32:16 PM,8.0,,,,
18,12/12/15 06:32:17 PM,9.0,,,,
19,12/12/15 06:32:18 PM,8.0,,,,
20,12/12/15 06:32:19 PM,8.0,,,,
21,12/12/15 06:32:20 PM,8.0,,,,
22,12/12/15 06:32:21 PM,8.0,,,,
23,12/12/15 06:32:22 PM,8.0,,,,
24,12/12/15 06:32:23 PM,8.0,,,,
25,12/12/15 06:32:24 PM,8.0,,,,
26,12/12/15 06:32:25 PM,8.0,,,,
27,12/12/15 06:32:26 PM,8.0,,,,
28,12/12/15 06:32:27 PM,8.0,,,,
29,12/12/15 06:32:28 PM,8.0,,,,
30,12/12/15 06:32:29 PM,8.0,,,,
31,12/12/15 06:32:30 PM,8.0,,,,
32,12/12/15 06:32:31 PM,8.0,,,,
33,12/12/15 06:32:32 PM,8.0,,,,
34,12/12/15 06:32:33 PM,8.0,,,,
35,12/12/15 06:32:34 PM,8.0,,,,
36,12/12/15 06:32:35 PM,8.0,,,,
37,12/12/15 06:32:36 PM,8.0,,,,
38,12/12/15 06:32:37 PM,8.0,,,,
39,12/12/15 06:32:38 PM,7.0,,,,
40,12/12/15 06:32:39 PM,7.0,,,,
41,12/12/15 06:32:40 PM,7.0,,,,
42,12/12/15 06:32:41 PM,7.0,,,,
43,12/12/15 06:32:42 PM,7.0,,,,
44,12/12/15 06:32:43 PM,7.0,,,,
45,12/12/15 06:32:44 PM,7.0,,,,
46,12/12/15 06:32:45 PM,7.0,,,,
47,12/12/15 06:32:46 PM,7.0,,,,
48,12/12/15 06:32:47 PM,7.0,,,,
49,12/12/15 06:32:48 PM,7.0,,,,
50,12/12/15 06:32:49 PM,7.0,,,,
51,12/12/15 06:32:50 PM,7.0,,,,
52,12/12/15 06:32:51 PM,7.0,,,,
53,12/12/15 06:32:52 PM,7.0,,,,
54,12/12/15 06:32:53 PM,7.0,,,,
55,12/12/15 06:32:54 PM,6.0,,,,
56,12/12/15 06:32:55 PM,6.0,,,,
57,12/12/15 06:32:56 PM,6.0,,,,
58,12/12/15 06:32:57 PM,7.0,,,,
59,12/12/15 06:32:58 PM,7.0,,,,
60,12/12/15 06:32:59 PM,7.0,,,,
61,12/12/15 06:33:00 PM,7.0,,,,
62,12/12/15 06:33:01 PM,7.0,,,,
63,12/12/15 06:33:02 PM,7.0,,,,
64,12/12/15 06:33:03 PM,7.0,,,,
65,12/12/15 06:33:04 PM,7.0,,,,
66,12/12/15 06:33:05 PM,7.0,,,,
67,12/12/15 06:33:06 PM,7.0,,,,
68,12/12/15 06:33:07 PM,7.0,,,,
69,12/12/15 06:33:08 PM,6.0,,,,
70,12/12/15 06:33:09 PM,6.0,,,,
71,12/12/15 06:33:10 PM,6.0,,,,
72,12/12/15 06:33:11 PM,6.0,,,,
73,12/12/15 06:33:12 PM,6.0,,,,
74,12/12/15 06:33:13 PM,6.0,,,,
75,12/12/15 06:33:14 PM,6.0,,,,
76,12/12/15 06:33:15 PM,6.0,,,,
77,12/12/15 06:33:16 PM,6.0,,,,
78,12/12/15 06:33:17 PM,6.0,,,,
79,12/12/15 06:33:18 PM,6.0,,,,
80,12/12/15 06:33:19 PM,6.0,,,,
81,12/12/15 06:33:20 PM,6.0,,,,
82,12/12/15 06:33:21 PM,6.0,,,,
83,12/12/15 06:33:22 PM,6.0,,,,
84,12/12/15 06:33:23 PM,7.0,,,,
85,12/12/15 06:33:24 PM,7.0,,,,
86,12/12/15 06:33:25 PM,7.0,,,,
87,12/12/15 06:33:26 PM,7.0,,,,
88,12/12/15 06:33:27 PM,7.0,,,,
89,12/12/15 06:33:28 PM,7.0,,,,
90,12/12/15 06:33:29 PM,7.0,,,,
91,12/12/15 06:33:30 PM,7.0,,,,
92,12/12/15 06:33:31 PM,7.0,,,,
93,12/12/15 06:33:32 PM,7.0,,,,
94,12/12/15 06:33:33 PM,7.0,,,,
95,12/12/15 06:33:34 PM,7.0,,,,
96,12/12/15 06:33:35 PM,7.0,,,,
