Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.8,0.23664319132398462,10,1,1,3
2,0.7,0.2469817807045694,10,0,0,2
3,0.7,0.20248456731316586,10,1,0,2
4,0.6,0.28982753492378877,10,0,0,3
5,0.4,0.15491933384829668,10,0,0,1
6,0.7,0.2469817807045694,10,0,0,2
7,0.8,0.23664319132398462,10,0,0,2
8,0.9,0.29832867780352595,10,0,0,3
9,0.6,0.25298221281347033,10,0,0,2
10,0.7,0.2846049894151541,10,0,0,3
