Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max
1,1,0.31622776601683794,0.4,0.15491933384829668,0,1
2,1,0.31622776601683794,0.8,0.2756809750418044,0,3
3,1,0.31622776601683794,0.8,0.23664319132398462,0,2
4,1,0.31622776601683794,0.4,0.15491933384829668,0,1
5,1,0.31622776601683794,0.9,0.09486832980505137,0,1
6,1,0.31622776601683794,0.9,0.09486832980505139,0,1
7,1,0.31622776601683794,0.8,0.1264911064067352,0,1
8,1,0.31622776601683794,0.9,0.09486832980505139,0,1
9,1,0.31622776601683794,0.9,0.09486832980505137,0,1
10,1,0.31622776601683794,1.0,0.0,1,1
