Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.5,0.15811388300841897,10,1,1,2
2,1.8,0.2756809750418044,10,2,0,3
3,2.2,0.18973665961010275,10,2,1,3
4,3.0,0.282842712474619,10,2,2,4
5,3.4,0.25298221281347033,10,4,2,4
6,4.0,0.0,10,4,4,4
7,4.0,0.0,10,4,4,4
8,4.0,0.0,10,4,4,4
9,4.0,0.0,10,4,4,4
10,4.0,0.0,10,4,4,4
