"Plot Title: 1_0_0_0_0_0Random selection, Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
122,12/16/15 02:21:01 PM,7.0,,,,
123,12/16/15 02:21:02 PM,4.0,,,,
124,12/16/15 02:21:03 PM,0.0,,,,
125,12/16/15 02:21:04 PM,0.0,,,,
126,12/16/15 02:21:05 PM,0.0,,,,
127,12/16/15 02:21:06 PM,0.0,,,,
128,12/16/15 02:21:07 PM,0.0,,,,
129,12/16/15 02:21:08 PM,0.0,,,,
130,12/16/15 02:21:09 PM,0.0,,,,
131,12/16/15 02:21:10 PM,0.0,,,,
132,12/16/15 02:21:11 PM,0.0,,,,
133,12/16/15 02:21:12 PM,0.0,,,,
134,12/16/15 02:21:13 PM,0.0,Logged,Logged,,
135,12/16/15 02:21:14 PM,0.0,,,,
136,12/16/15 02:21:15 PM,0.0,,,,
137,12/16/15 02:21:16 PM,0.0,,,,
138,12/16/15 02:21:17 PM,0.0,,,,
139,12/16/15 02:21:18 PM,0.0,,,,
140,12/16/15 02:21:19 PM,0.0,,,,
141,12/16/15 02:21:20 PM,0.0,,,,
142,12/16/15 02:21:21 PM,0.0,,,,
143,12/16/15 02:21:22 PM,0.0,,,,
144,12/16/15 02:21:23 PM,0.0,,,,
145,12/16/15 02:21:24 PM,0.0,,,Logged,Logged
