"Plot Title: 1_2_0_0_0_0Random selection, Development"
"#","Date Time, GMT-05:00","Intensity, lum/ft² (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Host Connected (LGR S/N: 1262011)","Coupler Attached (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
122,12/16/15 02:35:01 PM,0.0,,,,
123,12/16/15 02:35:02 PM,0.0,,,,
124,12/16/15 02:35:03 PM,0.0,,,,
125,12/16/15 02:35:04 PM,0.0,,,,
126,12/16/15 02:35:05 PM,0.0,,,,
127,12/16/15 02:35:06 PM,0.0,,,,
128,12/16/15 02:35:07 PM,0.0,,,,
129,12/16/15 02:35:08 PM,0.0,Logged,,,
130,12/16/15 02:35:09 PM,0.0,,Logged,,
131,12/16/15 02:35:10 PM,0.0,,,,
132,12/16/15 02:35:11 PM,0.0,,,,
133,12/16/15 02:35:12 PM,0.0,,,,
134,12/16/15 02:35:13 PM,0.0,,,,
135,12/16/15 02:35:14 PM,0.0,,,,
136,12/16/15 02:35:15 PM,0.0,,,,
137,12/16/15 02:35:16 PM,0.0,,,Logged,Logged
