Generation,mean,stderr,mean collisions,collision stderr,collisions min,collisions max,mean wires,mean wires stderr
1,0.010548446575076257,0.003138574136663317,0.8,0.18973665961010275,0,2,3.1,0.3301514803843836
2,0.012084119497794771,0.0022960080096615333,1.0,0.2449489742783178,0,2,2.3,0.4012480529547776
3,0.009464070526297379,0.0010573225027413514,0.8,0.18973665961010278,0,2,1.3,0.3754996671103717
4,0.008793289347640804,0.0008603697662282309,0.8,0.1264911064067352,0,1,1.6,0.45166359162544856
5,0.005053632924505467,0.0010390810518396472,0.7,0.14491376746189438,0,1,1.5,0.35355339059327373
6,0.005013679525805561,0.0007615833612011141,0.8,0.12649110640673517,0,1,1.9,0.4571651780264984
7,0.007096273320339225,0.00018469721624590863,0.9,0.09486832980505137,0,1,2.0,0.4242640687119285
