Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.6,0.25298221281347033,10,1,1,3
2,2.3,0.4012480529547776,10,2,0,5
3,3.5,0.35355339059327373,10,3,1,5
4,3.4,0.28982753492378877,10,4,2,5
5,3.8,0.18973665961010275,10,4,3,5
6,3.6,0.25298221281347033,10,4,2,5
7,4.0,0.282842712474619,10,4,2,5
8,4.6,0.15491933384829668,10,5,4,5
9,4.9,0.09486832980505137,10,5,4,5
10,5.0,0.0,10,5,5,5
