Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.6,0.25298221281347033,10,1,1,3
2,1.8,0.3687817782917155,10,2,0,4
3,1.7,0.20248456731316583,10,2,1,3
4,1.6,0.3521363372331801,10,1,0,3
5,1.7,0.2469817807045694,10,1,1,3
6,1.9,0.22135943621178655,10,2,1,3
7,2.6,0.15491933384829668,10,3,2,3
8,3.0,0.0,10,3,3,3
9,2.4,0.15491933384829668,10,2,2,3
10,2.6,0.15491933384829668,10,3,2,3
