Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.2,0.12649110640673517,10,1,1,2
2,1.3,0.24698178070456936,10,1,0,3
3,1.2,0.23664319132398462,10,1,0,2
4,1.9,0.17029386365926402,10,2,1,3
5,2.4,0.15491933384829668,10,2,2,3
6,2.8,0.12649110640673517,10,3,2,3
7,3.0,0.0,10,3,3,3
8,2.9,0.09486832980505137,10,3,2,3
9,2.9,0.09486832980505137,10,3,2,3
10,3.0,0.0,10,3,3,3
